(['1', '1527156417641', '-0.039', '0.471', '10.258', 'AccStLineZ'],
['2', '1527156417652', '-0.059', '0.412', '10.356', 'AccStLineZ'],
['3', '1527156417661', '0.039', '0.431', '10.395', 'AccStLineZ'],
['4', '1527156417670', '-0.02', '0.471', '10.356', 'AccStLineZ'],
['5', '1527156417678', '-0.078', '0.431', '10.317', 'AccStLineZ'],
['6', '1527156417687', '-0.157', '0.431', '10.258', 'AccStLineZ'],
['7', '1527156417694', '-0.157', '0.392', '10.277', 'AccStLineZ'],
['8', '1527156417703', '-0.157', '0.392', '10.277', 'AccStLineZ'],
['9', '1527156417711', '-0.059', '0.431', '10.297', 'AccStLineZ'],
['10', '1527156417720', '-0.039', '0.412', '10.277', 'AccStLineZ'],
['11', '1527156417728', '0', '0.392', '10.258', 'AccStLineZ'],
['12', '1527156417737', '-0.039', '0.412', '10.356', 'AccStLineZ'],
['13', '1527156417745', '-0.078', '0.451', '10.375', 'AccStLineZ'],
['14', '1527156417753', '-0.078', '0.451', '10.375', 'AccStLineZ'],
['15', '1527156417762', '-0.157', '0.431', '10.356', 'AccStLineZ'],
['16', '1527156417770', '-0.039', '0.392', '10.317', 'AccStLineZ'],
['17', '1527156417778', '-0.039', '0.431', '10.258', 'AccStLineZ'],
['18', '1527156417787', '-0.157', '0.412', '10.297', 'AccStLineZ'],
['19', '1527156417795', '-0.137', '0.373', '10.317', 'AccStLineZ'],
['20', '1527156417803', '-0.137', '0.373', '10.317', 'AccStLineZ'],
['21', '1527156417812', '-0.118', '0.333', '10.336', 'AccStLineZ'],
['22', '1527156417820', '-0.137', '0.373', '10.336', 'AccStLineZ'],
['23', '1527156417829', '-0.137', '0.392', '10.336', 'AccStLineZ'],
['24', '1527156417837', '-0.255', '0.431', '10.336', 'AccStLineZ'],
['25', '1527156417847', '-0.196', '0.471', '10.434', 'AccStLineZ'],
['26', '1527156417855', '-0.196', '0.471', '10.434', 'AccStLineZ'],
['27', '1527156417863', '-0.098', '0.471', '10.375', 'AccStLineZ'],
['28', '1527156417871', '-0.059', '0.471', '10.317', 'AccStLineZ'],
['29', '1527156417879', '-0.02', '0.49', '10.277', 'AccStLineZ'],
['30', '1527156417888', '0.039', '0.451', '10.219', 'AccStLineZ'],
['31', '1527156417896', '0.02', '0.412', '10.238', 'AccStLineZ'],
['32', '1527156417904', '0.02', '0.412', '10.238', 'AccStLineZ'],
['33', '1527156417913', '-0.039', '0.392', '10.297', 'AccStLineZ'],
['34', '1527156417921', '-0.157', '0.373', '10.238', 'AccStLineZ'],
['35', '1527156417932', '-0.255', '0.333', '10.297', 'AccStLineZ'],
['36', '1527156417939', '-0.333', '0.392', '10.356', 'AccStLineZ'],
['37', '1527156417948', '-0.275', '0.373', '10.317', 'AccStLineZ'],
['38', '1527156417956', '-0.275', '0.373', '10.317', 'AccStLineZ'],
['39', '1527156417965', '-0.235', '0.412', '10.336', 'AccStLineZ'],
['40', '1527156417973', '-0.216', '0.373', '10.375', 'AccStLineZ'],
['41', '1527156417981', '-0.177', '0.451', '10.375', 'AccStLineZ'],
['42', '1527156417990', '-0.196', '0.471', '10.317', 'AccStLineZ'],
['43', '1527156417999', '-0.196', '0.471', '10.317', 'AccStLineZ'],
['44', '1527156418007', '-0.118', '0.471', '10.336', 'AccStLineZ'],
['45', '1527156418015', '-0.157', '0.49', '10.356', 'AccStLineZ'],
['46', '1527156418024', '-0.157', '0.431', '10.317', 'AccStLineZ'],
['47', '1527156418032', '-0.235', '0.431', '10.336', 'AccStLineZ'],
['48', '1527156418040', '-0.235', '0.392', '10.356', 'AccStLineZ'],
['49', '1527156418049', '-0.235', '0.392', '10.356', 'AccStLineZ'],
['50', '1527156418057', '-0.235', '0.451', '10.356', 'AccStLineZ'],
['51', '1527156418066', '-0.235', '0.412', '10.297', 'AccStLineZ'],
['52', '1527156418074', '-0.196', '0.451', '10.317', 'AccStLineZ'],
['53', '1527156418082', '-0.196', '0.451', '10.356', 'AccStLineZ'],
['54', '1527156418091', '-0.118', '0.431', '10.375', 'AccStLineZ'],
['55', '1527156418099', '-0.118', '0.431', '10.375', 'AccStLineZ'],
['56', '1527156418107', '-0.137', '0.431', '10.277', 'AccStLineZ'],
['57', '1527156418116', '-0.098', '0.451', '10.238', 'AccStLineZ'],
['58', '1527156418126', '-0.157', '0.431', '10.258', 'AccStLineZ'],
['59', '1527156418133', '-0.137', '0.451', '10.277', 'AccStLineZ'],
['60', '1527156418142', '-0.196', '0.431', '10.277', 'AccStLineZ'],
['61', '1527156418149', '-0.196', '0.431', '10.277', 'AccStLineZ'],
['62', '1527156418158', '-0.196', '0.392', '10.375', 'AccStLineZ'],
['63', '1527156418166', '-0.157', '0.353', '10.336', 'AccStLineZ'],
['64', '1527156418175', '-0.078', '0.392', '10.258', 'AccStLineZ'],
['65', '1527156418183', '-0.059', '0.353', '10.277', 'AccStLineZ'],
['66', '1527156418191', '-0.098', '0.392', '10.317', 'AccStLineZ'],
['67', '1527156418200', '-0.098', '0.392', '10.317', 'AccStLineZ'],
['68', '1527156418208', '-0.177', '0.412', '10.415', 'AccStLineZ'],
['69', '1527156418216', '-0.137', '0.392', '10.356', 'AccStLineZ'],
['70', '1527156418225', '-0.177', '0.471', '10.356', 'AccStLineZ'],
['71', '1527156418233', '-0.137', '0.451', '10.336', 'AccStLineZ'],
['72', '1527156418242', '-0.177', '0.412', '10.277', 'AccStLineZ'],
['73', '1527156418250', '-0.177', '0.412', '10.277', 'AccStLineZ'],
['74', '1527156418259', '-0.137', '0.412', '10.317', 'AccStLineZ'],
['75', '1527156418267', '-0.078', '0.392', '10.317', 'AccStLineZ'],
['76', '1527156418275', '-0.098', '0.373', '10.258', 'AccStLineZ'],
['77', '1527156418284', '-0.118', '0.373', '10.258', 'AccStLineZ'],
['78', '1527156418292', '0', '0.373', '10.336', 'AccStLineZ'],
['79', '1527156418301', '0', '0.373', '10.336', 'AccStLineZ'],
['80', '1527156418309', '-0.078', '0.392', '10.317', 'AccStLineZ'],
['81', '1527156418317', '-0.039', '0.412', '10.336', 'AccStLineZ'],
['82', '1527156418326', '0.02', '0.451', '10.356', 'AccStLineZ'],
['83', '1527156418334', '-0.078', '0.431', '10.336', 'AccStLineZ'],
['84', '1527156418342', '-0.137', '0.412', '10.297', 'AccStLineZ'],
['85', '1527156418351', '-0.137', '0.412', '10.297', 'AccStLineZ'],
['86', '1527156418359', '-0.157', '0.353', '10.258', 'AccStLineZ'],
['87', '1527156418367', '-0.177', '0.431', '10.297', 'AccStLineZ'],
['88', '1527156418376', '-0.157', '0.431', '10.317', 'AccStLineZ'],
['89', '1527156418384', '-0.118', '0.471', '10.375', 'AccStLineZ'],
['90', '1527156418393', '-0.118', '0.392', '10.415', 'AccStLineZ'],
['91', '1527156418401', '-0.118', '0.392', '10.415', 'AccStLineZ'],
['92', '1527156418410', '-0.039', '0.392', '10.317', 'AccStLineZ'],
['93', '1527156418419', '-0.078', '0.392', '10.297', 'AccStLineZ'],
['94', '1527156418426', '-0.196', '0.314', '10.336', 'AccStLineZ'],
['95', '1527156418435', '-0.216', '0.353', '10.356', 'AccStLineZ'],
['96', '1527156418444', '-0.196', '0.373', '10.317', 'AccStLineZ'],
['97', '1527156418451', '-0.196', '0.373', '10.317', 'AccStLineZ'],
['98', '1527156418460', '-0.157', '0.392', '10.395', 'AccStLineZ'],
